FirstTeam,SecondTeam,Date,W/L,HomeCourt
HOU,GSW,03/20/2023,L,1
PHX,OKC,03/19/2023,L,0
LAL,ORL,03/19/2023,W,1
ORL,LAL,03/19/2023,L,0
DEN,BKN,03/19/2023,W,0
BKN,DEN,03/19/2023,L,1
MIL,TOR,03/19/2023,W,1
LAC,POR,03/19/2023,W,0
POR,LAC,03/19/2023,L,1
TOR,MIL,03/19/2023,L,0
HOU,NOP,03/19/2023,L,1
NOP,HOU,03/19/2023,W,0
OKC,PHX,03/19/2023,W,1
ATL,SAS,03/19/2023,L,0
MIA,DET,03/19/2023,W,0
SAS,ATL,03/19/2023,W,1
DET,MIA,03/19/2023,L,1
CHI,MIA,03/18/2023,W,1
MEM,GSW,03/18/2023,W,1
LAC,ORL,03/18/2023,L,1
GSW,MEM,03/18/2023,L,0
MIN,TOR,03/18/2023,L,0
IND,PHI,03/18/2023,L,1
MIA,CHI,03/18/2023,L,0
TOR,MIN,03/18/2023,W,1
PHI,IND,03/18/2023,W,0
SAC,WAS,03/18/2023,W,0
NYK,DEN,03/18/2023,W,1
DEN,NYK,03/18/2023,L,0
WAS,SAC,03/18/2023,L,1
BOS,UTA,03/18/2023,L,0
ORL,LAC,03/18/2023,W,0
UTA,BOS,03/18/2023,W,1
ATL,GSW,03/17/2023,W,1
HOU,NOP,03/17/2023,W,1
LAL,DAL,03/17/2023,L,1
DAL,LAL,03/17/2023,W,0
BOS,POR,03/17/2023,W,0
POR,BOS,03/17/2023,L,1
MIN,CHI,03/17/2023,L,0
CHI,MIN,03/17/2023,W,1
SAS,MEM,03/17/2023,L,1
MEM,SAS,03/17/2023,W,0
GSW,ATL,03/17/2023,L,0
NOP,HOU,03/17/2023,L,0
CLE,WAS,03/17/2023,W,1
WAS,CLE,03/17/2023,L,0
CHA,PHI,03/17/2023,L,1
PHI,CHA,03/17/2023,W,0
SAC,BKN,03/16/2023,W,0
IND,MIL,03/16/2023,W,0
BKN,SAC,03/16/2023,L,1
DET,DEN,03/16/2023,L,1
OKC,TOR,03/16/2023,L,0
DEN,DET,03/16/2023,W,0
MIL,IND,03/16/2023,L,1
TOR,OKC,03/16/2023,W,1
ORL,PHX,03/16/2023,L,0
PHX,ORL,03/16/2023,W,1
DAL,SAS,03/15/2023,W,0
SAC,CHI,03/15/2023,W,0
SAS,DAL,03/15/2023,L,1
CHI,SAC,03/15/2023,L,1
HOU,LAL,03/15/2023,W,1
MIA,MEM,03/15/2023,W,1
LAL,HOU,03/15/2023,L,0
GSW,LAC,03/15/2023,L,0
MEM,MIA,03/15/2023,L,0
BOS,MIN,03/15/2023,W,0
MIN,BOS,03/15/2023,L,1
CLE,PHI,03/15/2023,L,1
PHI,CLE,03/15/2023,W,0
LAC,GSW,03/15/2023,W,1
NYK,POR,03/14/2023,W,0
TOR,DEN,03/14/2023,W,1
DEN,TOR,03/14/2023,L,0
POR,NYK,03/14/2023,L,1
CHA,CLE,03/14/2023,L,1
PHX,MIL,03/14/2023,L,1
ORL,SAS,03/14/2023,L,0
SAS,ORL,03/14/2023,W,1
NOP,LAL,03/14/2023,L,1
LAL,NOP,03/14/2023,W,0
CLE,CHA,03/14/2023,W,0
BKN,OKC,03/14/2023,L,0
DET,WAS,03/14/2023,L,0
WAS,DET,03/14/2023,W,1
MIL,PHX,03/14/2023,W,0
OKC,BKN,03/14/2023,W,1
PHX,GSW,03/13/2023,L,0
GSW,PHX,03/13/2023,W,1
SAC,MIL,03/13/2023,L,1
MIL,SAC,03/13/2023,W,0
UTA,MIA,03/13/2023,L,0
MIA,UTA,03/13/2023,W,1
HOU,BOS,03/13/2023,W,1
BOS,HOU,03/13/2023,L,0
MEM,DAL,03/13/2023,W,0
ATL,MIN,03/13/2023,L,1
DAL,MEM,03/13/2023,L,1
DET,IND,03/13/2023,W,1
IND,DET,03/13/2023,L,0
MIN,ATL,03/13/2023,W,0
NYK,LAL,03/12/2023,W,0
PHI,WAS,03/12/2023,W,1
WAS,PHI,03/12/2023,L,0
OKC,SAS,03/12/2023,W,0
SAS,OKC,03/12/2023,L,1
LAL,NYK,03/12/2023,L,1
DEN,BKN,03/12/2023,L,1
BKN,DEN,03/12/2023,W,0
NOP,POR,03/12/2023,W,1
POR,NOP,03/12/2023,L,0
CHA,CLE,03/12/2023,L,1
CLE,CHA,03/12/2023,W,0
MIL,GSW,03/11/2023,L,0
GSW,MIL,03/11/2023,W,1
DET,IND,03/11/2023,L,1
IND,DET,03/11/2023,W,0
DAL,MEM,03/11/2023,L,0
CHA,UTA,03/11/2023,L,1
LAC,NYK,03/11/2023,W,1
NYK,LAC,03/11/2023,L,0
PHX,SAC,03/11/2023,L,1
BOS,ATL,03/11/2023,W,0
HOU,CHI,03/11/2023,L,1
CHI,HOU,03/11/2023,W,0
SAC,PHX,03/11/2023,W,0
UTA,CHA,03/11/2023,W,0
MIA,ORL,03/11/2023,L,0
ORL,MIA,03/11/2023,W,1
MEM,DAL,03/11/2023,W,1
OKC,NOP,03/11/2023,W,0
ATL,BOS,03/11/2023,L,1
NOP,OKC,03/11/2023,L,1
PHI,POR,03/10/2023,W,1
BKN,MIN,03/10/2023,W,0
POR,PHI,03/10/2023,L,0
ATL,WAS,03/10/2023,W,0
WAS,ATL,03/10/2023,L,1
SAS,DEN,03/10/2023,W,1
MIN,BKN,03/10/2023,L,1
LAL,TOR,03/10/2023,W,1
TOR,LAL,03/10/2023,L,0
MIA,CLE,03/10/2023,W,1
CLE,MIA,03/10/2023,L,0
DEN,SAS,03/10/2023,L,0
UTA,ORL,03/09/2023,W,0
NYK,SAC,03/09/2023,L,0
HOU,IND,03/09/2023,L,0
SAC,NYK,03/09/2023,W,1
IND,HOU,03/09/2023,W,1
MEM,GSW,03/09/2023,W,1
ORL,UTA,03/09/2023,L,1
GSW,MEM,03/09/2023,L,0
MIL,BKN,03/09/2023,W,1
BKN,MIL,03/09/2023,L,0
DET,CHA,03/09/2023,L,1
CHA,DET,03/09/2023,W,0
TOR,LAC,03/08/2023,L,0
LAC,TOR,03/08/2023,W,1
BOS,POR,03/08/2023,W,1
CHI,DEN,03/08/2023,W,0
POR,BOS,03/08/2023,L,0
OKC,PHX,03/08/2023,L,0
PHX,OKC,03/08/2023,W,1
ATL,WAS,03/08/2023,W,0
WAS,ATL,03/08/2023,L,1
CLE,MIA,03/08/2023,W,0
MIA,CLE,03/08/2023,L,1
NOP,DAL,03/08/2023,W,1
DAL,NOP,03/08/2023,L,0
DEN,CHI,03/08/2023,L,1
