FirstTeam,SecondTeam,Date,W/L
GSW,DAL,02/04/2023,W
NOP,LAL,02/04/2023,W
BKN,WAS,02/04/2023,W
DET,PHX,02/04/2023,L
NYK,LAC,02/04/2023,L
PHX,BOS,02/03/2023,W
ORL,MIN,02/03/2023,W
ATL,UTA,02/03/2023,W
PHI,SAS,02/03/2023,W
DET,CHA,02/03/2023,W
IND,SAC,02/03/2023,W
HOU,TOR,02/03/2023,L
WAS,POR,02/03/2023,L
LAC,MIL,02/02/2023,L
MIA,NYK,02/02/2023,L
DAL,NOP,02/02/2023,W
IND,LAL,02/02/2023,L
CHI,CHA,02/02/2023,W
MEM,CLE,02/02/2023,L
DEN,GSW,02/02/2023,W
GSW,MIN,02/01/2023,L
SAS,SAC,02/01/2023,L
BKN,BOS,02/01/2023,L
PHI,ORL,02/01/2023,W
HOU,OKC,02/01/2023,W
MEM,POR,02/01/2023,L
TOR,UTA,02/01/2023,L
PHX,ATL,02/01/2023,L
LAC,CHI,01/31/2023,W
MIL,CHA,01/31/2023,W
MIA,CLE,01/31/2023,W
NOP,DEN,01/31/2023,L
NYK,LAL,01/31/2023,L
ORL,PHI,01/30/2023,W
SAS,WAS,01/30/2023,L
GSW,OKC,01/30/2023,W
BKN,LAL,01/30/2023,W
MIN,SAC,01/30/2023,L
POR,ATL,01/30/2023,W
DET,DAL,01/30/2023,L
TOR,PHX,01/30/2023,L
CLE,LAC,01/29/2023,W
MIL,NOP,01/29/2023,W
IND,MEM,01/29/2023,L
CHA,MIA,01/29/2023,W
PHI,DEN,01/28/2023,W
HOU,DET,01/28/2023,W
CHI,ORL,01/28/2023,W
TOR,POR,01/28/2023,W
WAS,NOP,01/28/2023,W
BOS,LAL,01/28/2023,W
SAC,MIN,01/28/2023,L
SAS,PHX,01/28/2023,L
NYK,BKN,01/28/2023,L
LAC,ATL,01/28/2023,W
UTA,DAL,01/28/2023,W
IND,MIL,01/27/2023,L
OKC,CLE,01/27/2023,W
ORL,MIA,01/27/2023,L
GSW,TOR,01/27/2023,W
MIN,MEM,01/27/2023,W
NYK,BOS,01/26/2023,W
DET,BKN,01/26/2023,W
LAC,SAS,01/26/2023,W
CHA,CHI,01/26/2023,W
PHX,DAL,01/26/2023,L
HOU,CLE,01/26/2023,L
HOU,WAS,01/25/2023,L
UTA,POR,01/25/2023,L
IND,ORL,01/25/2023,L
DEN,MIL,01/25/2023,L
